Date,Instrument,DryBulb,WetBulb,AirMin,AirMax
01/09/2018,MMS,17.0,16.5,19.5,15.0
02/09/2018,MMS,20.0,17.1,20.4,15.4
03/09/2018,MMS,17.5,17.0,23.3,16.1
04/09/2018,MMS,15.9,13.0,18.1,13.2
05/09/2018,MMS,17.4,14.6,17.7,14.9
06/09/2018,MMS,15.9,14.0,18.0,13.6
07/09/2018,MMS,15.2,13.4,17.5,12.5
08/09/2018,MMS,15.6,14.0,17.2,12.0
09/09/2018,MMS,17.1,14.7,17.8,14.0
10/09/2018,MMS,16.3,13.9,19.0,11.5
11/09/2018,MMS,17.3,17.2,19.8,16.0
12/09/2018,MMS,13.0,12.0,18.7,11.7
13/09/2018,MMS,14.3,12.0,15.0,9.4
14/09/2018,MMS,14.8,12.2,16.5,10.5
15/09/2018,MMS,15.5,14.3,17.5,11.0
16/09/2018,MMS,17.0,16.2,17.9,13.8
17/09/2018,MMS,17.0,16.9,18.5,16.4
18/09/2018,MMS,16.7,15.7,19.3,14.7
19/09/2018,MMS,18.0,16.7,19.2,15.7
20/09/2018,MMS,16.5,16.2,19.2,13.0
21/09/2018,MMS,12.5,10.3,17.5,9.5
22/09/2018,MMS,10.8,10.5,15.3,10.5
23/09/2018,MMS,11.8,10.1,17.6,10.9
24/09/2018,MMS,13.5,9.9,13.8,7.9
25/09/2018,MMS,13.5,11.0,13.3,6.8
26/09/2018,MMS,14.6,12.0,16.4,7.1
27/09/2018,MMS,16.4,14.2,18.7,9.6
28/09/2018,MMS,14.2,12.2,21.6,10.0
29/09/2018,MMS,13.6,12.0,16.4,7.5
30/09/2018,MMS,,,,
01/09/2018,Vaisala,17.1,16.8,19.5,15.1
02/09/2018,Vaisala,19.9,17.3,20.3,15.4
03/09/2018,Vaisala,17.6,17.1,23.5,16.1
04/09/2018,Vaisala,15.9,13.1,18.1,13.3
05/09/2018,Vaisala,17.5,14.6,17.7,15.1
06/09/2018,Vaisala,15.9,14.0,18.0,13.8
07/09/2018,Vaisala,15.3,13.6,17.5,12.6
08/09/2018,Vaisala,15.5,14.2,17.4,12.1
09/09/2018,Vaisala,17.0,14.7,17.9,13.9
10/09/2018,Vaisala,16.9,13.8,17.9,11.8
11/09/2018,Vaisala,17.3,17.2,19.8,16.0
12/09/2018,Vaisala,13.1,12.1,18.6,11.8
13/09/2018,Vaisala,14.2,12.0,15.0,9.9
14/09/2018,Vaisala,14.5,12.5,16.7,10.8
15/09/2018,Vaisala,15.8,14.5,17.4,11.1
16/09/2018,Vaisala,17.1,16.3,18.1,13.8
17/09/2018,Vaisala,17.1,16.8,18.5,16.4
18/09/2018,Vaisala,16.6,15.7,19.4,14.9
19/09/2018,Vaisala,18.0,16.6,19.4,15.6
20/09/2018,Vaisala,16.5,16.3,19.3,13.2
21/09/2018,Vaisala,12.0,10.5,17.4,10.0
22/09/2018,Vaisala,10.9,10.5,15.3,10.4
23/09/2018,Vaisala,11.8,10.1,17.5,10.9
24/09/2018,Vaisala,13.6,10.1,14.0,8.0
25/09/2018,Vaisala,13.7,11.3,13.6,6.8
26/09/2018,Vaisala,14.8,11.8,16.6,7.1
27/09/2018,Vaisala,16.6,14.2,18.8,9.7
28/09/2018,Vaisala,14.0,12.2,21.9,10.2
29/09/2018,Vaisala,13.5,12.0,16.4,7.9
30/09/2018,Vaisala,,,,
01/09/2018,ETI,17.1,16.8,19.7,15.0
02/09/2018,ETI,20.0,17.3,20.6,15.4
03/09/2018,ETI,17.6,17.1,23.7,16.1
04/09/2018,ETI,15.9,13.1,18.1,13.2
05/09/2018,ETI,17.6,14.6,18.1,15.1
06/09/2018,ETI,16.0,14.0,18.1,13.6
07/09/2018,ETI,15.3,13.6,17.7,12.5
08/09/2018,ETI,15.5,14.2,17.7,11.9
09/09/2018,ETI,17.1,14.7,-,-
10/09/2018,ETI,,,,
11/09/2018,ETI,17.3,17.3,19.8,16.0
12/09/2018,ETI,13.1,12.1,18.5,11.7
13/09/2018,ETI,14.2,12.0,-,-
14/09/2018,ETI,14.5,12.5,16.7,10.5
15/09/2018,ETI,15.7,14.5,17.5,10.9
16/09/2018,ETI,17.1,16.3,18.0,13.8
17/09/2018,ETI,17.0,16.8,18.6,16.4
18/09/2018,ETI,16.6,15.7,19.5,14.6
19/09/2018,ETI,18.0,16.6,19.5,15.6
20/09/2018,ETI,16.5,15.3,19.6,13.1
21/09/2018,ETI,12.0,10.5,17.5,9.6
22/09/2018,ETI,10.9,10.5,15.5,10.5
23/09/2018,ETI,11.8,10.1,17.5,10.8
24/09/2018,ETI,13.8,10.1,14.2,8.0
25/09/2018,ETI,13.6,11.4,13.5,6.9
26/09/2018,ETI,14.6,11.8,-,-
27/09/2018,ETI,16.7,14.2,-,-
28/09/2018,ETI,14.0,12.2,22.2,9.9
29/09/2018,ETI,13.4,12.0,16.5,7.6
30/09/2018,ETI,,,,
01/09/2018,Manual Liquid-in-Glass,17.4,16.9,19.7,15.0
02/09/2018,Manual Liquid-in-Glass,20.0,17.5,20.6,15.6
03/09/2018,Manual Liquid-in-Glass,17.6,17.1,23.7,16.1
04/09/2018,Manual Liquid-in-Glass,15.8,13.1,18.3,13.3
05/09/2018,Manual Liquid-in-Glass,17.7,14.8,18.3,15.2
06/09/2018,Manual Liquid-in-Glass,16.0,14.2,18.3,13.8
07/09/2018,Manual Liquid-in-Glass,15.6,13.6,17.6,12.5
08/09/2018,Manual Liquid-in-Glass,15.5,14.3,17.5,11.9
09/09/2018,Manual Liquid-in-Glass,17.0,14.8,18.1,13.9
10/09/2018,Manual Liquid-in-Glass,16.8,14.1,19.3,11.5
11/09/2018,Manual Liquid-in-Glass,17.3,17.3,20.1,16.0
12/09/2018,Manual Liquid-in-Glass,13.0,12.1,19.0,11.9
13/09/2018,Manual Liquid-in-Glass,14.4,12.0,15.4,9.3
14/09/2018,Manual Liquid-in-Glass,14.8,12.5,17.0,10.4
15/09/2018,Manual Liquid-in-Glass,15.5,14.5,17.5,11.0
16/09/2018,Manual Liquid-in-Glass,17.1,16.4,18.2,13.9
17/09/2018,Manual Liquid-in-Glass,17.1,16.8,18.8,16.4
18/09/2018,Manual Liquid-in-Glass,16.5,15.8,19.7,14.7
19/09/2018,Manual Liquid-in-Glass,18.0,16.7,19.6,15.7
20/09/2018,Manual Liquid-in-Glass,16.5,16.2,19.5,13.2
21/09/2018,Manual Liquid-in-Glass,12.3,10.5,17.7,9.5
22/09/2018,Manual Liquid-in-Glass,10.9,10.6,15.4,10.6
23/09/2018,Manual Liquid-in-Glass,11.7,10.0,17.6,10.9
24/09/2018,Manual Liquid-in-Glass,13.8,10.3,14.5,7.5
25/09/2018,Manual Liquid-in-Glass,13.8,11.3,13.8,6.4
26/09/2018,Manual Liquid-in-Glass,14.8,12.0,17.0,7.0
27/09/2018,Manual Liquid-in-Glass,16.8,14.2,19.0,9.3
28/09/2018,Manual Liquid-in-Glass,14.3,12.2,22.0,10.0
29/09/2018,Manual Liquid-in-Glass,13.6,12.0,16.5,7.7
30/09/2018,Manual Liquid-in-Glass,,,,
01/10/2018,MMS,,,,
02/10/2018,MMS,14.6,14.1,14.8,10.4
03/10/2018,MMS,12.6,12.6,14.8,12.0
04/10/2018,MMS,12.6,12.5,14.5,10.9
05/10/2018,MMS,15.5,14.5,18.4,11.0
06/10/2018,MMS,11.0,10.3,18.1,10.7
07/10/2018,MMS,12.0,8.7,12.5,8.3
08/10/2018,MMS,13.6,11.7,13.7,10.0
09/10/2018,MMS,13.3,11.7,14.7,9.4
10/10/2018,MMS,17.1,15.2,17.4,12.0
11/10/2018,MMS,13.4,12.9,19.8,13.4
12/10/2018,MMS,14.9,14.9,15.9,11.9
13/10/2018,MMS,17.5,16.1,17.6,15.0
14/10/2018,MMS,11.0,10.4,17.5,10.5
15/10/2018,MMS,12.4,10.6,14.1,7.8
16/10/2018,MMS,12.0,11.6,13.5,11.0
17/10/2018,MMS,13.4,12.7,15.4,11.6
18/10/2018,MMS,12.6,10.8,14.7,11.7
19/10/2018,MMS,14.2,13.5,15.5,10.0
20/10/2018,MMS,14.9,12.4,15.5,8.0
21/10/2018,MMS,12.0,11.8,17.2,8.0
22/10/2018,MMS,11.0,8.5,14.7,10.0
23/10/2018,MMS,12.3,11.0,12.9,9.6
24/10/2018,MMS,12.3,11.7,13.9,11.0
25/10/2018,MMS,11.5,9.8,13.3,10.2
26/10/2018,MMS,9.8,6.9,12.8,9.4
27/10/2018,MMS,5.0,4.0,10.6,5.0
28/10/2018,MMS,7.6,4.5,8.5,3.7
29/10/2018,MMS,4.4,2.9,9.6,0.9
30/10/2018,MMS,4.9,2.9,9.1,0.8
31/10/2018,MMS,11.6,9.1,11.6,4.8
01/10/2018,Vaisala,,,,
02/10/2018,Vaisala,14.6,14.2,14.4,10.4
03/10/2018,Vaisala,12.6,12.6,14.9,11.9
04/10/2018,Vaisala,12.3,12.2,14.4,11.1
05/10/2018,Vaisala,15.4,14.5,18.5,11.4
06/10/2018,Vaisala,10.9,10.3,18.4,11.0
07/10/2018,Vaisala,12.1,9.0,12.6,8.3
08/10/2018,Vaisala,13.5,11.6,13.4,10.1
09/10/2018,Vaisala,13.4,11.6,14.5,9.6
10/10/2018,Vaisala,17.3,15.1,17.3,12.1
11/10/2018,Vaisala,13.4,12.7,19.6,13.5
12/10/2018,Vaisala,15.0,14.8,15.4,12.0
13/10/2018,Vaisala,17.4,16.3,17.5,15.0
14/10/2018,Vaisala,11.0,10.3,17.5,10.7
15/10/2018,Vaisala,12.6,10.6,14.0,7.9
16/10/2018,Vaisala,12.2,11.6,13.5,11.0
17/10/2018,Vaisala,13.8,12.8,15.4,11.8
18/10/2018,Vaisala,12.7,10.9,14.8,11.8
19/10/2018,Vaisala,14.1,13.5,15.7,10.4
20/10/2018,Vaisala,14.7,12.4,15.6,7.8
21/10/2018,Vaisala,12.0,11.8,17.4,8.4
22/10/2018,Vaisala,11.3,8.5,14.7,10.1
23/10/2018,Vaisala,12.4,11.0,13.0,9.6
24/10/2018,Vaisala,12.3,11.5,14.1,11.1
25/10/2018,Vaisala,11.5,9.6,13.4,10.4
26/10/2018,Vaisala,9.8,6.8,13.1,9.4
27/10/2018,Vaisala,4.7,-,10.5,5.2
28/10/2018,Vaisala,7.8,4.5,8.3,3.6
29/10/2018,Vaisala,4.3,2.6,9.7,1.0
30/10/2018,Vaisala,5.3,2.9,9.3,1.1
31/10/2018,Vaisala,11.8,9.0,11.8,5.1
01/10/2018,ETI,,,,
02/10/2018,ETI,14.6,14.2,14.6,10.4
03/10/2018,ETI,12.6,12.6,14.9,11.9
04/10/2018,ETI,12.3,12.2,14.4,10.9
05/10/2018,ETI,15.4,14.5,18.5,10.8
06/10/2018,ETI,10.9,10.3,18.5,10.7
07/10/2018,ETI,12.1,9.0,12.6,8.3
08/10/2018,ETI,13.5,11.6,13.9,9.9
09/10/2018,ETI,13.3,11.6,14.9,9.5
10/10/2018,ETI,17.3,15.1,17.4,12.0
11/10/2018,ETI,13.4,12.7,19.9,13.3
12/10/2018,ETI,15.1,14.8,16.3,11.9
13/10/2018,ETI,17.4,16.3,17.6,15.1
14/10/2018,ETI,10.9,10.3,17.5,10.6
15/10/2018,ETI,12.6,10.6,14.3,7.8
16/10/2018,ETI,12.1,11.6,13.6,10.9
17/10/2018,ETI,13.9,12.8,15.5,11.6
18/10/2018,ETI,12.7,10.9,14.9,11.7
19/10/2018,ETI,14.2,13.5,15.7,10.0
20/10/2018,ETI,14.7,12.4,15.7,7.8
21/10/2018,ETI,12.0,11.8,17.5,8.0
22/10/2018,ETI,11.4,8.5,14.9,10.1
23/10/2018,ETI,12.4,11.0,13.1,9.6
24/10/2018,ETI,12.5,11.5,14.1,11.0
25/10/2018,ETI,11.6,9.6,13.5,10.2
26/10/2018,ETI,9.8,6.8,13.3,9.3
27/10/2018,ETI,4.7,-,10.5,5.0
28/10/2018,ETI,7.8,4.5,8.5,3.5
29/10/2018,ETI,4.3,2.6,9.7,0.9
30/10/2018,ETI,5.4,2.9,9.4,0.7
31/10/2018,ETI,12.1,9.0,12.1,4.8
01/10/2018,Manual Liquid-in-Glass,,,,
02/10/2018,Manual Liquid-in-Glass,14.6,14.3,14.9,10.4
03/10/2018,Manual Liquid-in-Glass,12.6,12.6,15.1,12.0
04/10/2018,Manual Liquid-in-Glass,12.6,12.5,14.6,11.0
05/10/2018,Manual Liquid-in-Glass,15.6,14.5,18.6,10.9
06/10/2018,Manual Liquid-in-Glass,11.1,10.5,18.7,10.5
07/10/2018,Manual Liquid-in-Glass,12.0,8.9,12.7,8.3
08/10/2018,Manual Liquid-in-Glass,13.5,11.7,14.0,9.9
09/10/2018,Manual Liquid-in-Glass,13.4,11.6,15.1,9.6
10/10/2018,Manual Liquid-in-Glass,17.3,15.3,17.6,12.1
11/10/2018,Manual Liquid-in-Glass,13.4,12.9,19.9,13.5
12/10/2018,Manual Liquid-in-Glass,15.0,14.9,15.4,12.6
13/10/2018,Manual Liquid-in-Glass,17.7,16.3,17.7,15.5
14/10/2018,Manual Liquid-in-Glass,11.3,10.5,17.7,10.6
15/10/2018,Manual Liquid-in-Glass,12.5,10.8,14.3,7.7
16/10/2018,Manual Liquid-in-Glass,12.0,11.8,13.7,10.9
17/10/2018,Manual Liquid-in-Glass,13.7,12.8,15.7,11.6
18/10/2018,Manual Liquid-in-Glass,12.6,11.0,15.1,11.8
19/10/2018,Manual Liquid-in-Glass,14.4,13.5,15.8,10.0
20/10/2018,Manual Liquid-in-Glass,15.0,12.5,15.9,7.9
21/10/2018,Manual Liquid-in-Glass,12.2,12.0,17.5,7.9
22/10/2018,Manual Liquid-in-Glass,11.5,9.0,15.0,10.0
23/10/2018,Manual Liquid-in-Glass,12.2,11.0,13.1,9.5
24/10/2018,Manual Liquid-in-Glass,12.3,11.7,14.2,10.9
25/10/2018,Manual Liquid-in-Glass,11.4,9.8,13.7,10.2
26/10/2018,Manual Liquid-in-Glass,9.6,7.0,13.4,9.4
27/10/2018,Manual Liquid-in-Glass,5.1,4.1,10.7,5.0
28/10/2018,Manual Liquid-in-Glass,7.7,4.8,8.7,3.5
29/10/2018,Manual Liquid-in-Glass,4.4,2.8,9.8,0.8
30/10/2018,Manual Liquid-in-Glass,5.3,3.0,9.2,0.5
31/10/2018,Manual Liquid-in-Glass,11.8,9.1,11.8,4.9
01/11/2018,MMS,10.5,7.9,13.4,8.5
02/11/2018,MMS,9.0,6.5,11.8,3.4
03/11/2018,MMS,12.6,11.6,12.6,8.1
04/11/2018,MMS,12.6,12.3,13.6,12.0
05/11/2018,MMS,11.2,10.3,14.0,9.9
06/11/2018,MMS,11.6,9.9,13.4,10.8
07/11/2018,MMS,NIL,,,
08/11/2018,MMS,9.7,9.0,11.8,6.1
09/11/2018,MMS,10.6,8.6,12.6,8.3
10/11/2018,MMS,12.0,10.7,13.0,7.5
11/11/2018,MMS,10.4,8.9,12.6,8.2
12/11/2018,MMS,11.4,9.4,13.0,9.4
13/11/2018,MMS,10.0,9.2,13.0,7.5
14/11/2018,MMS,12.2,11.3,13.2,9.8
15/11/2018,MMS,11.5,11.0,13.9,10.4
16/11/2018,MMS,12.9,11.8,13.0,10.7
17/11/2018,MMS,11.9,11.1,13.8,11.4
18/11/2018,MMS,10.1,8.9,12.2,8.7
19/11/2018,MMS,5.2,3.6,11.3,4.6
20/11/2018,MMS,4.2,2.4,8.9,2.3
21/11/2018,MMS,4.0,2.7,7.9,-0.7
22/11/2018,MMS,7.7,5.4,8.9,3.5
23/11/2018,MMS,9.5,8.9,10.0,7.5
24/11/2018,MMS,8.1,7.8,11.4,6.5
25/11/2018,MMS,5.7,4.9,9.2,5.0
26/11/2018,MMS,4.3,3.6,8.3,2.8
27/11/2018,MMS,11.7,11.5,11.9,4.1
28/11/2018,MMS,13.3,12.8,13.3,8.3
29/11/2018,MMS,9.4,8.4,14.4,9.1
30/11/2018,MMS,8.3,7.3,11.7,8.2
01/11/2018,Vaisala,10.6,8.0,13.4,9.0
02/11/2018,Vaisala,8.8,6.4,11.8,4.0
03/11/2018,Vaisala,12.6,11.5,12.6,8.1
04/11/2018,Vaisala,12.7,12.2,13.7,12.0
05/11/2018,Vaisala,11.4,10.3,14.1,9.9
06/11/2018,Vaisala,11.6,9.8,13.5,10.8
07/11/2018,Vaisala,NIL,,,
08/11/2018,Vaisala,9.9,9.1,11.9,6.5
09/11/2018,Vaisala,10.6,8.6,12.6,8.3
10/11/2018,Vaisala,11.8,11.0,13.1,8.3
11/11/2018,Vaisala,10.5,8.8,12.7,8.0
12/11/2018,Vaisala,11.1,9.2,13.2,9.4
13/11/2018,Vaisala,10.1,9.1,13.1,7.7
14/11/2018,Vaisala,12.3,11.3,13.3,10.2
15/11/2018,Vaisala,11.6,11.0,13.9,10.7
16/11/2018,Vaisala,13.0,11.8,13.0,10.9
17/11/2018,Vaisala,12.1,11.1,13.8,11.8
18/11/2018,Vaisala,10.3,8.9,12.3,9.3
19/11/2018,Vaisala,5.3,3.6,11.3,5.0
20/11/2018,Vaisala,4.1,2.4,8.9,2.8
21/11/2018,Vaisala,7.3,2.8,7.7,-0.8
22/11/2018,Vaisala,7.8,5.6,9.0,NIL
23/11/2018,Vaisala,9.7,8.8,9.9,7.7
24/11/2018,Vaisala,8.3,7.8,11.6,6.7
25/11/2018,Vaisala,5.7,5.0,9.3,5.5
26/11/2018,Vaisala,4.1,3.3,8.5,3.4
27/11/2018,Vaisala,11.8,11.7,12.0,4.3
28/11/2018,Vaisala,13.4,12.8,13.5,8.8
29/11/2018,Vaisala,9.6,8.5,14.4,9.1
