Date,Instrument,DryBulb,WetBulb,AirMin,AirMax
30/11/2018,Vaisala,8.3,7.4,11.8,8.2
01/11/2018,ETI,10.6,8.0,13.5,8.6
02/11/2018,ETI,8.8,6.4,11.9,3.2
03/11/2018,ETI,12.6,11.5,12.6,8.8
04/11/2018,ETI,12.7,12.2,13.7,12.0
05/11/2018,ETI,11.3,10.3,14.2,9.9
06/11/2018,ETI,11.6,9.8,13.6,10.7
07/11/2018,ETI,NIL,,,
08/11/2018,ETI,9.9,9.1,14.6?,6.2
09/11/2018,ETI,10.6,8.6,12.6,8.3
10/11/2018,ETI,11.8,11.0,13.2,7.8
11/11/2018,ETI,10.5,8.8,12.7,8.0
12/11/2018,ETI,11.0,9.2,13.3,9.4
13/11/2018,ETI,10.1,9.1,13.2,7.7
14/11/2018,ETI,12.3,11.3,13.3,10.2
15/11/2018,ETI,11.6,11.0,14.0,10.6
16/11/2018,ETI,13.0,11.8,13.0,10.9
17/11/2018,ETI,12.1,11.1,13.8,11.6
18/11/2018,ETI,10.3,8.9,12.3,8.8
19/11/2018,ETI,5.2,3.6,11.3,4.9
20/11/2018,ETI,4.1,2.4,9.0,2.5
21/11/2018,ETI,4.3,2.8,7.7,-0.9
22/11/2018,ETI,7.7,5.6,9.0,4.4
23/11/2018,ETI,9.7,8.8,9.9,7.7
24/11/2018,ETI,8.2,7.8,11.6,6.6
25/11/2018,ETI,5.7,5.0,9.3,5.4
26/11/2018,ETI,4.1,3.3,8.5,2.8
27/11/2018,ETI,11.8,11.7,12.0,3.9
28/11/2018,ETI,13.4,12.8,13.5,8.6
29/11/2018,ETI,9.6,8.5,14.4,9.1
30/11/2018,ETI,8.3,7.4,11.9,8.2
01/11/2018,Manual Liquid-in-Glass,10.7,8.0,13.5,8.6
02/11/2018,Manual Liquid-in-Glass,9.0,6.5,12.0,3.2
03/11/2018,Manual Liquid-in-Glass,12.5,11.6,12.7,8.8
04/11/2018,Manual Liquid-in-Glass,12.7,12.4,13.8,12.1
05/11/2018,Manual Liquid-in-Glass,11.4,10.5,14.3,9.9
06/11/2018,Manual Liquid-in-Glass,11.6,10.0,13.5,10.7
07/11/2018,Manual Liquid-in-Glass,NIL,,,
08/11/2018,Manual Liquid-in-Glass,9.8,8.9,12.2,6.5
09/11/2018,Manual Liquid-in-Glass,10.6,8.5,12.7,8.3
10/11/2018,Manual Liquid-in-Glass,12.0,10.7,-,-
11/11/2018,Manual Liquid-in-Glass,10.5,8.5,12.7,8.1
12/11/2018,Manual Liquid-in-Glass,11.2,9.1,13.1,9.5
13/11/2018,Manual Liquid-in-Glass,10.0,9.1,13.1,7.7
14/11/2018,Manual Liquid-in-Glass,12.2,11.0,13.4,10.2
15/11/2018,Manual Liquid-in-Glass,11.5,10.8,14.1,10.6
16/11/2018,Manual Liquid-in-Glass,13.0,11.6,13.1,11.0
17/11/2018,Manual Liquid-in-Glass,12.1,10.9,13.8,11.7
18/11/2018,Manual Liquid-in-Glass,10.3,8.8,12.5,9.0
19/11/2018,Manual Liquid-in-Glass,5.3,3.5,11.4,4.8
20/11/2018,Manual Liquid-in-Glass,4.2,2.3,9.1,2.5
21/11/2018,Manual Liquid-in-Glass,4.1,3.8,7.9,-0.7
22/11/2018,Manual Liquid-in-Glass,7.8,5.8,9.1,4.1
23/11/2018,Manual Liquid-in-Glass,9.7,8.7,10.1,7.8
24/11/2018,Manual Liquid-in-Glass,8.2,7.7,11.7,6.7
25/11/2018,Manual Liquid-in-Glass,5.8,5.0,9.3,5.3
26/11/2018,Manual Liquid-in-Glass,4.2,3.4,8.7,2.9
27/11/2018,Manual Liquid-in-Glass,11.7,11.3,12.0,3.7
28/11/2018,Manual Liquid-in-Glass,13.4,12.8,13.6,8.5
29/11/2018,Manual Liquid-in-Glass,9.6,8.4,14.4,9.0
30/11/2018,Manual Liquid-in-Glass,8.4,7.3,12.1,8.2
01/12/2018,MMS,12.1,12.0,12.5,7.4
02/12/2018,MMS,12.6,12.3,13.5,11.3
03/12/2018,MMS,12.0,11.1,13.3,11.5
04/12/2018,MMS,7.1,5.2,12.3,4.8
05/12/2018,MMS,12.2,12.1,12.8,7.0
06/12/2018,MMS,11.6,11.0,13.0,10.5
07/12/2018,MMS,9.5,7.0,12.5,8.2
08/12/2018,MMS,10.4,10.2,10.7,6.1
09/12/2018,MMS,11.0,9.0,12.5,9.1
10/12/2018,MMS,8.9,7.6,11.1,8.5
11/12/2018,MMS,10.3,9.0,11.0,8.4
12/12/2018,MMS,7.3,7.0,10.6,6.9
13/12/2018,MMS,7.2,6.7,10.3,6.8
14/12/2018,MMS,6.4,4.8,7.4,5.6
15/12/2018,MMS,12.2,12.1,12.4,5.9
16/12/2018,MMS,9.2,7.9,13.0,5.9
17/12/2018,MMS,8.9,8.1,9.7,5.8
18/12/2018,MMS,10.0,9.8,12.1,8.8
19/12/2018,MMS,6.6,6.2,10.5,5.5
20/12/2018,MMS,8.5,7.8,10.0,6.0
21/12/2018,MMS,10.9,9.5,12.6,8.0
22/12/2018,MMS,10.3,9.5,11.9,10.3
23/12/2018,MMS,12.2,12.2,12.5,8.7
24/12/2018,MMS,10.6,10.2,12.5,10.2
25/12/2018,MMS,10.3,10.0,11.3,9.6
26/12/2018,MMS,8.5,8.1,11.4,8.3
27/12/2018,MMS,6.1,6.0,10.7,4.9
28/12/2018,MMS,8.8,8.1,11.2,4.1
29/12/2018,MMS,10.5,9.7,10.7,8.5
30/12/2018,MMS,9.3,9.3,10.8,8.8
31/12/2018,MMS,9.4,7.9,10.3,8.9
01/12/2018,Vaisala,12.0,11.9,12.4,7.6
02/12/2018,Vaisala,12.4,12.2,13.3,11.5
03/12/2018,Vaisala,12.1,11.1,13.3,11.7
04/12/2018,Vaisala,7.2,5.3,12.2,4.7
05/12/2018,Vaisala,12.4,12.0,12.8,7.1
06/12/2018,Vaisala,11.6,11.1,12.8,10.8
07/12/2018,Vaisala,9.6,7.1,12.4,8.5
08/12/2018,Vaisala,10.4,10.1,10.5,5.9
09/12/2018,Vaisala,10.9,9.0,12.5,9.1
10/12/2018,Vaisala,9.0,7.6,11.1,8.7
11/12/2018,Vaisala,10.0,9.0,11.2,8.5
12/12/2018,Vaisala,7.3,7.0,10.6,7.1
13/12/2018,Vaisala,7.3,6.7,10.4,6.9
14/12/2018,Vaisala,6.5,4.8,7.4,5.8
15/12/2018,Vaisala,12.3,12.2,12.2,6.2
16/12/2018,Vaisala,9.2,7.9,12.9,6.2
17/12/2018,Vaisala,9.1,8.1,9.6,6.2
18/12/2018,Vaisala,9.9,9.8,11.8,8.7
19/12/2018,Vaisala,6.5,6.0,9.7,5.8
20/12/2018,Vaisala,8.5,7.9,9.7,6.6
21/12/2018,Vaisala,10.8,9.5,12.5,8.0
22/12/2018,Vaisala,10.3,9.5,11.9,10.2
23/12/2018,Vaisala,12.2,12.1,12.5,9.0
24/12/2018,Vaisala,10.6,10.4,12.6,10.5
25/12/2018,Vaisala,10.4,10.0,11.4,10.2
26/12/2018,Vaisala,8.6,8.2,11.4,8.3
27/12/2018,Vaisala,5.6,5.5,10.7,4.9
28/12/2018,Vaisala,8.7,8.1,11.2,4.1
29/12/2018,Vaisala,10.4,9.8,10.8,8.7
30/12/2018,Vaisala,9.3,9.3,10.7,9.2
31/12/2018,Vaisala,9.3,7.8,10.3,8.9
01/12/2018,ETI,12.0,11.9,12.5,7.5
02/12/2018,ETI,12.4,12.2,13.3,11.5
03/12/2018,ETI,12.1,11.1,13.3,11.7
04/12/2018,ETI,7.2,5.3,12.2,4.8
05/12/2018,ETI,12.4,12.0,12.5,7.2
06/12/2018,ETI,11.5,11.1,12.9,10.8
07/12/2018,ETI,9.7,7.1,12.4,8.5
08/12/2018,ETI,10.4,10.1,10.7,5.7
09/12/2018,ETI,10.9,9.0,12.5,9.1
10/12/2018,ETI,8.9,7.6,11.2,8.4
11/12/2018,ETI,9.9,9.0,11.2,8.5
12/12/2018,ETI,7.3,7.0,10.6,7.0
13/12/2018,ETI,7.3,6.7,10.5,7.0
14/12/2018,ETI,6.5,4.8,7.3,5.8
15/12/2018,ETI,12.3,12.2,12.3,6.0
16/12/2018,ETI,9.2,7.9,12.9,6.0
17/12/2018,ETI,9.1,8.1,9.8,6.0
18/12/2018,ETI,9.7,9.6,11.9,8.6
19/12/2018,ETI,6.5,6.0,9.3,5.6
20/12/2018,ETI,8.5,7.9,9.8,6.5
21/12/2018,ETI,10.8,9.5,12.5,8.2
22/12/2018,ETI,10.3,9.5,11.8,10.3
23/12/2018,ETI,12.2,12.1,12.5,8.9
24/12/2018,ETI,10.6,10.4,12.5,10.4
25/12/2018,ETI,10.4,10.0,11.4,9.9
26/12/2018,ETI,8.6,8.2,11.3,8.2
27/12/2018,ETI,5.5,5.5,10.8,4.8
28/12/2018,ETI,8.6,8.1,11.7,4.1
29/12/2018,ETI,10.4,9.8,10.8,8.6
30/12/2018,ETI,9.3,9.3,10.7,8.8
31/12/2018,ETI,9.3,7.8,10.3,8.8
01/12/2018,Manual Liquid-in-Glass,12.0,11.9,12.6,7.5
02/12/2018,Manual Liquid-in-Glass,12.8,12.5,13.5,11.5
03/12/2018,Manual Liquid-in-Glass,12.0,11.0,13.6,11.8
04/12/2018,Manual Liquid-in-Glass,7.2,5.2,12.4,4.8
05/12/2018,Manual Liquid-in-Glass,12.3,12.1,12.9,7.0
06/12/2018,Manual Liquid-in-Glass,11.5,11.1,13.1,10.9
07/12/2018,Manual Liquid-in-Glass,9.5,7.0,12.5,8.5
08/12/2018,Manual Liquid-in-Glass,10.7,10.1,10.4,5.8
09/12/2018,Manual Liquid-in-Glass,11.0,8.8,12.6,1.8
10/12/2018,Manual Liquid-in-Glass,8.9,7.5,11.2,8.5
11/12/2018,Manual Liquid-in-Glass,10.3,9.0,11.5,8.3
12/12/2018,Manual Liquid-in-Glass,7.5,7.2,10.6,7.0
13/12/2018,Manual Liquid-in-Glass,7.2,6.8,10.3,7.1
14/12/2018,Manual Liquid-in-Glass,6.4,4.8,7.5,5.7
15/12/2018,Manual Liquid-in-Glass,12.3,12.1,12.6,6.0
16/12/2018,Manual Liquid-in-Glass,9.1,7.8,13.1,6.0
17/12/2018,Manual Liquid-in-Glass,8.9,8.1,9.9,6.0
18/12/2018,Manual Liquid-in-Glass,9.9,9.7,12.0,8.8
19/12/2018,Manual Liquid-in-Glass,6.8,6.3,10.0,5.5
20/12/2018,Manual Liquid-in-Glass,8.8,7.8,10.0,6.5
21/12/2018,Manual Liquid-in-Glass,10.8,9.5,12.7,8.2
22/12/2018,Manual Liquid-in-Glass,10.3,9.5,12.0,10.4
23/12/2018,Manual Liquid-in-Glass,12.2,12.0,12.8,9.0
24/12/2018,Manual Liquid-in-Glass,10.6,10.3,12.7,10.4
25/12/2018,Manual Liquid-in-Glass,10.3,9.9,11.5,9.9
26/12/2018,Manual Liquid-in-Glass,8.5,8.0,11.4,8.3
27/12/2018,Manual Liquid-in-Glass,5.7,5.6,10.8,4.9
28/12/2018,Manual Liquid-in-Glass,8.5,8.0,11.5,4.0
29/12/2018,Manual Liquid-in-Glass,10.5,9.8,11.0,8.7
30/12/2018,Manual Liquid-in-Glass,9.3,9.3,11.0,9.0
31/12/2018,Manual Liquid-in-Glass,9.3,7.9,10.5,8.8
01/01/2019,MMS,9.4,7.7,9.9,8.7
02/01/2019,MMS,7.4,6.7,9.7,6.9
03/01/2019,MMS,5.2,3.3,8.2,4.6
04/01/2019,MMS,6.4,4.6,7.2,4.9
05/01/2019,MMS,5.5,4.0,7.8,4.0
06/01/2019,MMS,7.8,6.5,8.1,5.1
07/01/2019,MMS,9.7,7.8,10.0,6.0
08/01/2019,MMS,9.3,7.0,10.5,8.4
09/01/2019,MMS,8.5,6.5,9.1,8.0
10/01/2019,MMS,1.4,0.5,8.6,0.7
11/01/2019,MMS,9.8,7.4,10.2,1.1
12/01/2019,MMS,9.2,9.0,10.1,7.8
13/01/2019,MMS,9.9,8.7,10.1,8.6
14/01/2019,MMS,8.8,5.9,10.6,8.3
15/01/2019,MMS,8.2,7.8,9.2,6.8
16/01/2019,MMS,8.4,7.9,10.0,7.5
17/01/2019,MMS,6.5,3.6,9.0,5.5
18/01/2019,MMS,8.1,7.6,8.0,3.5
19/01/2019,MMS,6.3,6.2,10.1,5.3
20/01/2019,MMS,8.6,6.9,9.8,6.0
21/01/2019,MMS,5.0,4.2,9.8,2.2
22/01/2019,MMS,6.1,4.6,8.7,4.1
23/01/2019,MMS,6.6,3.7,7.8,4.4
24/01/2019,MMS,7.6,7.4,7.7,5.6
25/01/2019,MMS,10.0,9.4,10.5,8.0
26/01/2019,MMS,8.8,8.2,10.9,7.1
27/01/2019,MMS,6.0,2.8,9.9,5.7
28/01/2019,MMS,,,,
29/01/2019,MMS,,,,
30/01/2019,MMS,,,,
31/01/2019,MMS,,,,
01/01/2019,Vaisala,9.4,7.8,9.9,8.7
02/01/2019,Vaisala,7.5,6.7,9.7,7.1
03/01/2019,Vaisala,5.2,3.3,8.2,4.8
04/01/2019,Vaisala,6.6,4.7,7.2,5.3
05/01/2019,Vaisala,5.5,4.0,7.5,4.4
06/01/2019,Vaisala,7.8,6.5,8.0,5.5
07/01/2019,Vaisala,9.7,8.1,10.0,6.3
08/01/2019,Vaisala,9.0,7.0,10.4,8.7
09/01/2019,Vaisala,8.4,6.7,9.0,8.1
10/01/2019,Vaisala,1.3,0.4,8.6,0.7
11/01/2019,Vaisala,9.7,7.8,10.1,1.4
12/01/2019,Vaisala,9.4,9.2,10.1,8.3
13/01/2019,Vaisala,9.9,8.8,10.1,8.9
14/01/2019,Vaisala,8.7,6.1,10.6,8.7
15/01/2019,Vaisala,7.8,7.5,9.2,7.2
16/01/2019,Vaisala,8.3,8.0,9.8,7.6
17/01/2019,Vaisala,6.5,4.0,9.0,5.5
18/01/2019,Vaisala,8.1,7.7,8.1,3.5
19/01/2019,Vaisala,6.5,6.1,10.2,5.6
20/01/2019,Vaisala,8.6,7.2,9.7,6.3
21/01/2019,Vaisala,5.0,4.3,9.4,2.5
22/01/2019,Vaisala,6.0,4.7,8.6,4.5
23/01/2019,Vaisala,6.4,4.0,7.6,5.3
24/01/2019,Vaisala,7.6,7.4,7.8,5.8
25/01/2019,Vaisala,10.2,9.5,NIL,NIL
26/01/2019,Vaisala,8.9,8.4,10.8,7.1
27/01/2019,Vaisala,6.1,3.1,9.8,6.0
28/01/2019,Vaisala,,,,
29/01/2019,Vaisala,,,,
30/01/2019,Vaisala,,,,
31/01/2019,Vaisala,,,,
01/01/2019,ETI,9.4,7.8,9.9,8.7
02/01/2019,ETI,7.4,6.7,9.8,7.1
03/01/2019,ETI,5.2,3.3,8.2,4.8
04/01/2019,ETI,6.7,4.7,7.2,5.2
05/01/2019,ETI,5.5,4.0,7.6,4.3
06/01/2019,ETI,7.8,6.5,8.1,5.4
07/01/2019,ETI,9.7,8.1,10.3,5.9
08/01/2019,ETI,9.0,7.0,10.4,8.6
09/01/2019,ETI,8.4,6.7,9.1,7.9
10/01/2019,ETI,1.3,0.4,8.6,0.4
11/01/2019,ETI,9.7,7.8,10.2,1.4
12/01/2019,ETI,9.4,9.2,10.1,8.0
13/01/2019,ETI,9.9,8.8,10.1,8.8
14/01/2019,ETI,8.7,6.1,10.5,8.5
15/01/2019,ETI,7.8,7.5,9.2,7.0
16/01/2019,ETI,8.3,8.0,9.7,7.8
17/01/2019,ETI,6.5,4.0,8.9,5.4
18/01/2019,ETI,8.1,7.0,8.1,3.5
19/01/2019,ETI,6.4,6.1,10.3,5.5
20/01/2019,ETI,8.6,7.2,9.8,6.3
21/01/2019,ETI,5.0,4.3,9.7,2.3
22/01/2019,ETI,6.0,4.7,8.7,4.4
23/01/2019,ETI,6.3,4.0,7.9,4.6
24/01/2019,ETI,7.5,7.4,7.5,6.1
25/01/2019,ETI,10.1,9.5,10.5,7.6
26/01/2019,ETI,8.8,8.4,11.1,7.0
27/01/2019,ETI,6.1,3.1,9.8,5.8
28/01/2019,ETI,,,,
29/01/2019,ETI,,,,
30/01/2019,ETI,,,,
31/01/2019,ETI,,,,
01/01/2019,Manual Liquid-in-Glass,9.3,7.5,10.1,8.6
02/01/2019,Manual Liquid-in-Glass,7.4,6.8,9.9,7.1
03/01/2019,Manual Liquid-in-Glass,5.2,3.3,8.3,4.8
04/01/2019,Manual Liquid-in-Glass,6.6,4.6,7.2,5.0
05/01/2019,Manual Liquid-in-Glass,5.4,4.1,7.9,4.3
06/01/2019,Manual Liquid-in-Glass,7.8,6.3,8.1,5.4
07/01/2019,Manual Liquid-in-Glass,10.0,8.0,10.5,6.1
08/01/2019,Manual Liquid-in-Glass,9.3,7.0,10.5,8.5
09/01/2019,Manual Liquid-in-Glass,8.4,6.3,9.2,7.9
10/01/2019,Manual Liquid-in-Glass,1.2,0.2,8.7,0.6
11/01/2019,Manual Liquid-in-Glass,9.6,7.4,10.2,1.1
12/01/2019,Manual Liquid-in-Glass,9.3,9.0,10.1,8.0
13/01/2019,Manual Liquid-in-Glass,9.8,8.6,10.4,8.9
14/01/2019,Manual Liquid-in-Glass,8.5,5.7,10.8,8.5
15/01/2019,Manual Liquid-in-Glass,8.3,8.0,9.4,7.0
16/01/2019,Manual Liquid-in-Glass,8.5,8.0,10.0,7.7
17/01/2019,Manual Liquid-in-Glass,6.5,3.5,9.2,5.6
18/01/2019,Manual Liquid-in-Glass,8.0,7.6,8.3,3.4
19/01/2019,Manual Liquid-in-Glass,6.3,6.1,10.2,5.6
20/01/2019,Manual Liquid-in-Glass,8.6,6.9,10.0,6.2
21/01/2019,Manual Liquid-in-Glass,5.0,4.2,10.0,2.4
22/01/2019,Manual Liquid-in-Glass,6.0,4.5,8.9,4.4
23/01/2019,Manual Liquid-in-Glass,6.6,4.1,8.0,4.5
24/01/2019,Manual Liquid-in-Glass,7.6,7.4,7.6,5.9
25/01/2019,Manual Liquid-in-Glass,10.1,9.3,10.6,7.5
26/01/2019,Manual Liquid-in-Glass,8.8,8.1,11.1,7.1
27/01/2019,Manual Liquid-in-Glass,6.1,2.9,10.0,5.6
28/01/2019,Manual Liquid-in-Glass,,,,
29/01/2019,Manual Liquid-in-Glass,,,,
30/01/2019,Manual Liquid-in-Glass,,,,
31/01/2019,Manual Liquid-in-Glass,,,,
